week_start_date,campaign,campaign_id,ad_group,campaign_type,currency,cost_micros,impr.,clicks,conversions,conv_value
2026-04-06,ACME_NA_SEARCH_Q2,17801433,ACME_NA_SEARCH_Q2::ag4,Search,USD,9153142768,81504,3376,50.45,3897.19
2026-04-06,acme-na-search-alwayson,17488254,acme-na-search-alwayson::ag2,Search,USD,3480758270,22179,1665,20.48,2156.28
2026-04-06,ACME_EMEA_SEARCH_Q2,11000758,ACME_EMEA_SEARCH_Q2::ag4,Performance Max,GBP,6378061908,74764,3452,160.81,11818.48
2026-04-06,ACME_NA_SEARCH_RETARGET_Q2,14592081,ACME_NA_SEARCH_RETARGET_Q2::ag4,Search,USD,3052657071,12744,941,23.52,2513.39
2026-04-06,ACME-APAC-SEARCH-Q2,16076907,ACME-APAC-SEARCH-Q2::ag4,Display,USD,1290706086,12382,499,8.05,488.81
2026-04-13,ACME_NA_SEARCH_Q2,17801433,ACME_NA_SEARCH_Q2::ag2,Search,USD,9871717476,248780,7784,352.70,36305.43
2026-04-13,acme-na-search-alwayson,12488254,acme-na-search-alwayson::ag4,Search,USD,3643282351,29757,1641,25.64,2867.37
2026-04-13,ACME_EMEA_SEARCH_Q2,21000758,ACME_EMEA_SEARCH_Q2::ag3,Performance Max,GBP,7937429556,70114,5379,231.56,19091.16
2026-04-13,ACME_NA_SEARCH_RETARGET_Q2,10592081,ACME_NA_SEARCH_RETARGET_Q2::ag1,Search,USD,3127627937,24421,984,28.77,1247.70
2026-04-13,ACME-APAC-SEARCH-Q2,19076907,ACME-APAC-SEARCH-Q2::ag1,Display,USD,1644323261,22364,1462,55.03,6019.31
2026-04-20,ACME_NA_SEARCH_Q2,14801433,ACME_NA_SEARCH_Q2::ag1,Search,USD,8963302983,97642,7836,380.63,37530.86
2026-04-20,acme-na-search-alwayson,11488254,acme-na-search-alwayson::ag1,Search,USD,2834513425,35314,1172,54.69,4375.43
2026-04-20,ACME_EMEA_SEARCH_Q2,15000758,ACME_EMEA_SEARCH_Q2::ag4,Performance Max,GBP,6512126499,43160,3756,86.89,4919.29
2026-04-20,ACME_NA_SEARCH_RETARGET_Q2,17592081,ACME_NA_SEARCH_RETARGET_Q2::ag3,Search,USD,2762735420,13912,1051,46.34,4336.30
2026-04-20,ACME-APAC-SEARCH-Q2,18076907,ACME-APAC-SEARCH-Q2::ag4,Display,USD,1553248725,29077,1531,33.50,3583.97
2026-04-27,ACME_NA_SEARCH_Q2,16801433,ACME_NA_SEARCH_Q2::ag4,Search,USD,7822342418,157430,6738,290.89,29069.90
2026-04-27,acme-na-search-alwayson,19488254,acme-na-search-alwayson::ag3,Search,USD,3783310870,74419,3122,141.19,8456.87
2026-04-27,ACME_EMEA_SEARCH_Q2,11000758,ACME_EMEA_SEARCH_Q2::ag4,Performance Max,GBP,6784964183,53916,2873,139.68,6163.38
2026-04-27,ACME_NA_SEARCH_RETARGET_Q2,20592081,ACME_NA_SEARCH_RETARGET_Q2::ag3,Search,USD,2450787762,25490,922,18.87,2039.95
2026-04-27,ACME-APAC-SEARCH-Q2,15076907,ACME-APAC-SEARCH-Q2::ag2,Display,USD,1541774737,5312,481,21.79,1134.80
2026-05-04,ACME_NA_SEARCH_Q2,18801433,ACME_NA_SEARCH_Q2::ag3,Search,USD,10107935139,34233,2994,119.09,12404.57
2026-05-04,acme-na-search-alwayson,17488254,acme-na-search-alwayson::ag3,Search,USD,3085834889,14412,1254,25.90,1687.90
2026-05-04,ACME_EMEA_SEARCH_Q2,18000758,ACME_EMEA_SEARCH_Q2::ag2,Performance Max,GBP,8112850840,43101,2862,65.64,6864.54
2026-05-04,ACME_NA_SEARCH_RETARGET_Q2,13592081,ACME_NA_SEARCH_RETARGET_Q2::ag1,Search,USD,3000272877,23534,1203,29.01,3107.44
2026-05-04,ACME-APAC-SEARCH-Q2,12076907,ACME-APAC-SEARCH-Q2::ag1,Display,USD,1566431197,20123,1056,14.33,630.63
2026-05-04,ACME_NA_SEARCH_PROMO_Q2,15863573,ACME_NA_SEARCH_PROMO_Q2::ag1,Shopping,USD,10591215194,119914,7186,213.58,20936.88
2026-05-11,ACME_NA_SEARCH_Q2,18801433,ACME_NA_SEARCH_Q2::ag1,Search,USD,8118007149,67660,5949,272.35,20489.97
2026-05-11,acme-na-search-alwayson,16488254,acme-na-search-alwayson::ag2,Search,USD,3452007887,30497,1224,40.04,2504.73
2026-05-11,ACME_EMEA_SEARCH_Q2,21000758,ACME_EMEA_SEARCH_Q2::ag2,Performance Max,GBP,6118711126,69576,2417,82.16,4324.65
2026-05-11,ACME_NA_SEARCH_RETARGET_Q2,12592081,ACME_NA_SEARCH_RETARGET_Q2::ag4,Search,USD,3045780440,40953,1551,39.19,3130.82
2026-05-11,ACME-APAC-SEARCH-Q2,18076907,ACME-APAC-SEARCH-Q2::ag4,Display,USD,1526590622,8307,538,23.29,955.04
2026-05-11,ACME_NA_SEARCH_PROMO_Q2,17863573,ACME_NA_SEARCH_PROMO_Q2::ag1,Shopping,USD,9888761119,100029,4031,128.25,12904.20
2026-05-18,ACME_NA_SEARCH_Q2,11801433,ACME_NA_SEARCH_Q2::ag4,Search,USD,11464677014,50173,3651,119.71,6023.20
2026-05-18,acme-na-search-alwayson,20488254,acme-na-search-alwayson::ag4,Search,USD,4102975558,21817,1759,31.17,2463.07
2026-05-18,ACME_EMEA_SEARCH_Q2,19000758,ACME_EMEA_SEARCH_Q2::ag1,Performance Max,GBP,8714039679,59098,3311,130.55,8623.40
2026-05-18,ACME_NA_SEARCH_RETARGET_Q2,12592081,ACME_NA_SEARCH_RETARGET_Q2::ag3,Search,USD,2144061886,38306,1520,68.15,6014.08
2026-05-18,ACME-APAC-SEARCH-Q2,20076907,ACME-APAC-SEARCH-Q2::ag3,Display,USD,1478016067,30929,973,24.32,1530.52
2026-05-18,ACME_NA_SEARCH_PROMO_Q2,12863573,ACME_NA_SEARCH_PROMO_Q2::ag1,Shopping,USD,11766619235,77234,5385,221.92,18692.73
2026-05-25,ACME_NA_SEARCH_Q2,21801433,ACME_NA_SEARCH_Q2::ag4,Search,USD,7138363558,90940,7168,278.36,20998.48
2026-05-25,acme-na-search-alwayson,19488254,acme-na-search-alwayson::ag4,Search,USD,2666141960,17320,1276,50.64,3669.71
2026-05-25,ACME_EMEA_SEARCH_Q2,20000758,ACME_EMEA_SEARCH_Q2::ag4,Performance Max,GBP,5887682896,26626,1820,31.68,2284.69
2026-05-25,ACME_NA_SEARCH_RETARGET_Q2,15592081,ACME_NA_SEARCH_RETARGET_Q2::ag4,Search,USD,2951264802,23899,1386,33.35,1497.39
2026-05-25,ACME-APAC-SEARCH-Q2,21076907,ACME-APAC-SEARCH-Q2::ag3,Display,USD,1394891033,18085,1109,29.95,3042.84
2026-05-25,ACME_NA_SEARCH_PROMO_Q2,19863573,ACME_NA_SEARCH_PROMO_Q2::ag2,Shopping,USD,10862101806,61837,4748,82.49,5362.28
2026-06-01,ACME_NA_SEARCH_Q2,20801433,ACME_NA_SEARCH_Q2::ag2,Search,USD,11074565591,37250,3325,148.14,13614.20
2026-06-01,acme-na-search-alwayson,17488254,acme-na-search-alwayson::ag3,Search,USD,3843776290,40570,1331,54.19,3749.30
2026-06-01,ACME_EMEA_SEARCH_Q2,18000758,ACME_EMEA_SEARCH_Q2::ag1,Performance Max,GBP,7070360817,72817,5564,158.38,10987.88
2026-06-01,ACME_NA_SEARCH_RETARGET_Q2,12592081,ACME_NA_SEARCH_RETARGET_Q2::ag1,Search,USD,3172312577,12057,1038,30.90,1533.60
2026-06-01,ACME-APAC-SEARCH-Q2,18076907,ACME-APAC-SEARCH-Q2::ag2,Display,USD,1472297957,4985,450,12.11,835.79
