date,campaign_name,campaign_id,adset_name,objective,spend,impressions,clicks,conversions,conversion_value
2026-04-06,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1952.05,212496,2441,98,8130.23
2026-04-06,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,586.46,60117,685,39,3726.46
2026-04-06,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1177.29,119216,2346,46,2811.84
2026-04-06,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,318.59,31495,353,11,928.44
2026-04-06,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,289.02,26608,396,13,1093.97
2026-04-07,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1629.18,161833,3192,110,9309.46
2026-04-07,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,667.63,68301,1403,79,3332.99
2026-04-07,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1803.03,160261,1090,17,840.26
2026-04-07,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,373.00,42711,843,41,1587.64
2026-04-07,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,330.92,41015,598,14,1162.11
2026-04-08,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1885.85,192114,3597,87,5975.72
2026-04-08,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,660.34,62640,423,15,1077.87
2026-04-08,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1812.03,285918,3955,151,12121.45
2026-04-08,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,389.78,41790,607,15,1186.62
2026-04-08,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS2,OUTCOME_TRAFFIC,332.60,29537,317,5,466.27
2026-04-09,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,2181.20,196249,2809,93,7401.32
2026-04-09,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,803.18,124717,1286,73,5458.02
